Name,Defected
phpbb-release-3.0.10/phpBB/adm/index.php,yes
phpbb-release-3.0.10/phpBB/adm/swatch.php,no
phpbb-release-3.0.10/phpBB/common.php,no
phpbb-release-3.0.10/phpBB/cron.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_avatars.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_bbcodes.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_magic_urls.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_sizes.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_smilies.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_uids.php,no
phpbb-release-3.0.10/phpBB/develop/adjust_usernames.php,no
phpbb-release-3.0.10/phpBB/develop/benchmark.php,no
phpbb-release-3.0.10/phpBB/develop/change_smiley_ref.php,yes
phpbb-release-3.0.10/phpBB/develop/check_flash_bbcodes.php,yes
phpbb-release-3.0.10/phpBB/develop/create_schema_files.php,yes
phpbb-release-3.0.10/phpBB/develop/generate_utf_casefold.php,yes
phpbb-release-3.0.10/phpBB/develop/generate_utf_confusables.php,yes
phpbb-release-3.0.10/phpBB/develop/generate_utf_tables.php,yes
phpbb-release-3.0.10/phpBB/develop/lang_duplicates.php,no
phpbb-release-3.0.10/phpBB/develop/merge_post_tables.php,yes
phpbb-release-3.0.10/phpBB/develop/mysql_upgrader.php,yes
phpbb-release-3.0.10/phpBB/develop/nuke-db.php,no
phpbb-release-3.0.10/phpBB/develop/regex.php,no
phpbb-release-3.0.10/phpBB/develop/repair_bots.php,no
phpbb-release-3.0.10/phpBB/develop/search_fill.php,no
phpbb-release-3.0.10/phpBB/develop/unicode_testing.php,no
phpbb-release-3.0.10/phpBB/develop/update_email_hash.php,no
phpbb-release-3.0.10/phpBB/develop/utf_normalizer_test.php,yes
phpbb-release-3.0.10/phpBB/download/file.php,no
phpbb-release-3.0.10/phpBB/faq.php,no
phpbb-release-3.0.10/phpBB/feed.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_apc.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_eaccelerator.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_file.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_memcache.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_memory.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_null.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_redis.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_wincache.php,no
phpbb-release-3.0.10/phpBB/includes/acm/acm_xcache.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_attachments.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_ban.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_bbcodes.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_board.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_bots.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_captcha.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_disallow.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_email.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_forums.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_groups.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_icons.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_inactive.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_jabber.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_language.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_logs.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_main.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_modules.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_permission_roles.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_permissions.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_php_info.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_profile.php,yes
phpbb-release-3.0.10/phpBB/includes/acp/acp_prune.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_ranks.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_reasons.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_search.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_send_statistics.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_styles.php,yes
phpbb-release-3.0.10/phpBB/includes/acp/acp_update.php,no
phpbb-release-3.0.10/phpBB/includes/acp/acp_users.php,yes
